nobs lift graph cw ew path cpp pl
5 9.535100e-02 2.621100e-02 4.643700e-02 3.880000e-04 3.643200e-02 6.234000e-03 2.360000e-04
5 9.328600e-02 2.427600e-02 4.502600e-02 3.270000e-04 1.598200e-02 7.164000e-03 1.840000e-04
5 8.985500e-02 2.494700e-02 4.363200e-02 3.730000e-04 3.325800e-02 6.639000e-03 2.380000e-04
5 9.091400e-02 2.404900e-02 3.857700e-02 3.370000e-04 4.069400e-02 5.865000e-03 1.880000e-04
5 8.906200e-02 2.495200e-02 4.854000e-02 3.290000e-04 1.738700e-02 8.377000e-03 1.390000e-04
5 8.967600e-02 2.390100e-02 4.058100e-02 1.600000e-04 3.703800e-02 8.035000e-03 6.200000e-05
5 8.960700e-02 2.611700e-02 4.870000e-02 1.620000e-04 2.757000e-02 7.987000e-03 6.500000e-05
5 6.418700e-02 2.682900e-02 5.242600e-02 1.650000e-04 5.879200e-02 8.378000e-03 6.600000e-05
5 6.374600e-02 2.351800e-02 4.216300e-02 1.680000e-04 2.311200e-02 7.878000e-03 6.200000e-05
5 5.581400e-02 2.620600e-02 4.907200e-02 1.780000e-04 1.637800e-02 6.376000e-03 6.300000e-05
7 6.238600e-02 3.380300e-02 5.827000e-02 1.660000e-04 5.429600e-02 7.529000e-03 6.500000e-05
7 5.876500e-02 3.216600e-02 6.693600e-02 1.740000e-04 3.350900e-02 8.839000e-03 8.400000e-05
7 5.803100e-02 3.223700e-02 7.099600e-02 1.710000e-04 6.000700e-02 8.953000e-03 6.700000e-05
7 5.609700e-02 2.951000e-02 6.063500e-02 1.590000e-04 5.199100e-02 8.085000e-03 6.400000e-05
7 5.644200e-02 3.353900e-02 7.892100e-02 1.730000e-04 2.049000e-02 8.537000e-03 6.300000e-05
7 5.588700e-02 3.077700e-02 6.669800e-02 1.570000e-04 2.002700e-02 6.733000e-03 7.600000e-05
7 5.546800e-02 2.868500e-02 6.141600e-02 1.720000e-04 2.153300e-02 8.020000e-03 6.000000e-05
7 5.617100e-02 2.978800e-02 6.397500e-02 1.710000e-04 2.663300e-02 8.066000e-03 6.000000e-05
7 5.643500e-02 3.074700e-02 6.202300e-02 1.640000e-04 5.292200e-02 1.072000e-02 9.500000e-05
7 5.964400e-02 3.333600e-02 7.159000e-02 1.970000e-04 2.647500e-02 9.507000e-03 1.130000e-04
9 6.435300e-02 4.276100e-02 1.132540e-01 2.200000e-04 6.395900e-02 1.021700e-02 9.400000e-05
9 5.955900e-02 3.903400e-02 9.367500e-02 1.720000e-04 7.536500e-02 1.088800e-02 6.800000e-05
9 5.790900e-02 3.720600e-02 8.546500e-02 1.640000e-04 5.211700e-02 9.452000e-03 6.500000e-05
9 5.765100e-02 3.694600e-02 8.790700e-02 1.590000e-04 7.598600e-02 8.254000e-03 6.200000e-05
9 5.760100e-02 4.011300e-02 9.564900e-02 1.630000e-04 3.856400e-02 1.023900e-02 6.800000e-05
9 5.842300e-02 4.274200e-02 1.088670e-01 1.670000e-04 1.683700e-02 8.933000e-03 6.000000e-05
9 5.873800e-02 3.947700e-02 1.015830e-01 1.680000e-04 9.470200e-02 1.026800e-02 6.900000e-05
9 5.746400e-02 3.805900e-02 9.141900e-02 1.720000e-04 2.004900e-02 8.959000e-03 6.200000e-05
9 5.754300e-02 4.005500e-02 9.869000e-02 1.640000e-04 3.573000e-02 8.570000e-03 6.300000e-05
9 5.758600e-02 3.821900e-02 9.449200e-02 1.710000e-04 5.420100e-02 9.031000e-03 6.500000e-05
11 6.054000e-02 4.541000e-02 1.194220e-01 1.690000e-04 9.259600e-02 1.123300e-02 7.000000e-05
11 5.915300e-02 4.745600e-02 1.277990e-01 1.690000e-04 4.087900e-02 1.012700e-02 6.200000e-05
11 6.033900e-02 4.866200e-02 1.284700e-01 1.700000e-04 1.069870e-01 9.787000e-03 6.600000e-05
11 5.915000e-02 4.552600e-02 1.219680e-01 1.620000e-04 6.275600e-02 1.187100e-02 9.000000e-05
11 6.467600e-02 5.149300e-02 1.499040e-01 1.730000e-04 3.760100e-02 1.233500e-02 7.000000e-05
11 5.875200e-02 4.453400e-02 1.135820e-01 1.720000e-04 3.390100e-02 1.140400e-02 7.300000e-05
